"Firm","Client","Total"
"Covington & Burling","Qualcomm Inc","$59570000"
"Akin Gump et al","Gila River Indian Community","$56780000"
"Brownstein Hyatt et al","Apollo Global Management","$30250000"
"Swidler Berlin et al","Asbestos Study Group","$30020000"
"Venn Strategies","Employee-Owned S Corporations of America","$22693500"
"Patton Boggs LLP","Mars Inc","$22230000"
"Ogilvy Government Relations","Blackstone Group","$22180000"
"Covington & Burling","Pharmaceutical Research & Manufacturers of America","$17669000"
"McGuiness & Yager","HR Policy Assn","$17430000"
"Alcalde & Fay","Cruise Lines International Assn","$17170000"
"K&L Gates","Pitney Bowes Inc","$17100000"
"Tarplin Downs & Young","Blue Cross/Blue Shield","$16330000"
"Harbinger Strategies","Blackstone Group","$16325000"
"Hogan & Hartson","Nissan","$16260000"
"Smith-Free Group","Sony Corp","$16060000"
"Tributary LLP","HR Policy Assn","$16050000"
"Baker Donelson et al","Toshiba Corp","$14347500"
"Dickstein Shapiro LLP","Lorillard Inc","$14110000"
"Canfield & Assoc","Consumer Mortgage Coalition","$13910000"
"Winston & Strawn","Liberty Maritime","$13838281"
"Dickstein Shapiro LLP","Loews Corp","$13640000"
"K&L Gates","American Maritime Partnership","$13400000"
"Cassidy & Assoc","Boston University","$13320000"
"Wiley Rein LLP","Nucor Corp","$13210000"
"Dewey & LeBoeuf","Lloyd's of London","$12830000"