"Industry","Total"
"Pharmaceuticals/Health Products","$6470752802"
"Insurance","$3817598360"
"Electronics Mfg & Equip","$3739401085"
"Electric Utilities","$3253565010"
"Business Associations","$3133304033"
"Oil & Gas","$3021764378"
"Hospitals/Nursing Homes","$2542043577"
"Securities & Investment","$2530656265"
"Misc Manufacturing & Distributing","$2486418100"
"Civil Servants/Public Officials","$2409374328"
"Real Estate","$2373697632"
"Telecom Services","$2272955730"
"Air Transport","$2241262452"
"Education","$2162115848"
"Health Professionals","$2093150361"
"Health Services/HMOs","$1925295605"
"Automotive","$1670502463"
"TV/Movies/Music","$1640971434"
"Misc Issues","$1471973509"
"Defense Aerospace","$1433036176"