"Recipient","From Lobbyists","From Lobbyists + Family"
"Charles E Schumer (D-NY)","$757850","$824750"
"Kevin McCarthy (R-Calif)","$629693","$633693"
"Raphael Warnock (D-Ga)","$532090","$561777"
"Maggie Hassan (D-NH)","$518115","$536765"
"Patty Murray (D-Wash)","$505239","$525639"
"Tim Ryan (D-Ohio)","$488528","$522013"
"Catherine Cortez Masto (D-Nev)","$459972","$482560"
"John Thune (R-SD)","$370728","$375728"
"Tim Scott (R-SC)","$355204","$376984"
"Ron Wyden (D-Ore)","$344953","$359553"
"Katie Britt (R-Ala)","$334993","$350083"
"Cathy McMorris Rodgers (R-Wash)","$324271","$328766"
"Robert Menendez (D-NJ)","$311860","$321560"
"Mark Kelly (D-Ariz)","$301072","$318146"
"Liz Cheney (R-Wyo)","$298390","$312790"
"Todd Young (R-Ind)","$291460","$296360"
"Chris Van Hollen (D-Md)","$274081","$278831"
"Alex Padilla (D-Calif)","$267320","$285420"
"Richard Blumenthal (D-Conn)","$257408","$263908"
"Ted Budd (R-NC)","$253060","$258560"
"Hakeem Jeffries (D-NY)","$252205","$259305"
"Marco Rubio (R-Fla)","$249440","$253840"
"John Boozman (R-Ark)","$246465","$255515"
"Markwayne Mullin (R-Okla)","$237150","$253250"
"Darin LaHood (R-Ill)","$236899","$241399"
"Ken Calvert (R-Calif)","$233813","$245813"
"Lisa Murkowski (R-Alaska)","$233410","$239360"
"Mike Crapo (R-Idaho)","$231508","$231508"
"Mark Warner (D-Va)","$230969","$236779"
"Richard E Neal (D-Mass)","$228907","$229907"
"Herschel Walker (R-Ga)","$228562","$240612"
"Mike Lee (R-Utah)","$223726","$233126"
"Vernon Buchanan (R-Fla)","$223200","$232900"
"Chuck Grassley (R-Iowa)","$213991","$223291"
"Kyrsten Sinema (D-Ariz)","$210450","$225250"
"Frank Pallone Jr. (D-NJ)","$208300","$208800"
"J D Vance (R-Ohio)","$204159","$212459"
"Steve Scalise (R-La)","$202815","$208615"
"Adam Laxalt (R-Nev)","$199350","$222000"
"Jerry Moran (R-Kan)","$195599","$196599"
"Drew Ferguson (R-Ga)","$179540","$184760"
"Cheri Beasley (D-NC)","$175925","$188075"
"Gary Peters (D-Mich)","$174910","$177110"
"Peter Welch (D-Vt)","$169200","$176000"
"Patrick McHenry (R-NC)","$165350","$165350"
"Dave McCormick (R)","$164250","$191350"
"Nancy Pelosi (D-Calif)","$156627","$168789"
"Lori Trahan (D-Mass)","$155794","$156794"
"Joe Manchin (D-WVa)","$155527","$164227"
"Blaine Luetkemeyer (R-Mo)","$152242","$161942"
"Jon Tester (D-Mont)","$151629","$151629"
"James Lankford (R-Okla)","$148456","$155256"
"Val Demings (D-Fla)","$147800","$163777"
"Bob Casey (D-Pa)","$144077","$146977"
"Henry Cuellar (D-Texas)","$143729","$161529"
"Steven Horsford (D-Nev)","$141556","$144456"
"Martin Heinrich (D-NM)","$140000","$140000"
"Mandela Barnes (D-Wis)","$138963","$150963"
"Chris Stewart (R-Utah)","$138550","$139550"
"Ben Ray Lujan (D-NM)","$137300","$137300"
"Brett Guthrie (R-Ky)","$136000","$136500"
"Abigail Spanberger (D-Va)","$134084","$140921"
"Tammy Duckworth (D-Ill)","$129635","$134635"
"Luke Holland (R)","$128450","$132075"
"Jason Smith (R-Mo)","$127460","$131860"
"Richard Hudson (R-NC)","$124870","$128870"
"Rob Menendez (D-NJ)","$123656","$124906"
"Pete Aguilar (D-Calif)","$122800","$128600"
"John Curtis (R-Utah)","$121250","$121500"
"Steny H Hoyer (D-Md)","$120420","$136420"
"Tim Kaine (D-Va)","$119478","$123378"
"French Hill (R-Ark)","$118520","$118520"
"Katherine Clark (D-Mass)","$118185","$118685"
"Mikie Sherrill (D-NJ)","$117887","$119387"
"Dan Kildee (D-Mich)","$116720","$121720"
"Ashley Hinson (R-Iowa)","$116550","$124200"
"Rodney Davis (R-Ill)","$115545","$117545"
"Bill Hagerty (R-Tenn)","$115500","$124100"
"James E Clyburn (D-SC)","$114600","$114600"
"Dan Newhouse (R-Wash)","$114400","$114400"
"Mike Simpson (R-Idaho)","$113669","$115169"
"John Kennedy (R-La)","$112200","$118000"
"Patrick Leahy (D-Vt)","$111748","$114248"
"Elaine Luria (D-Va)","$111290","$115540"
"Haley Stevens (D-Mich)","$110612","$114012"
"Rosa DeLauro (D-Conn)","$109762","$110262"
"Adam Kinzinger (R-Ill)","$109300","$112200"
"Tom Cole (R-Okla)","$108500","$111500"
"Ann Kuster (D-NH)","$108500","$108500"
"Joyce Beatty (D-Ohio)","$107450","$107450"
"Lucy McBath (D-Ga)","$105701","$107201"
"John Fetterman (D-Pa)","$105593","$125934"
"Angie Craig (D-Minn)","$101128","$101128"
"Scott Peters (D-Calif)","$100500","$101000"
"Mike D Rogers (R-Ala)","$99750","$100750"
"Sam Graves (R-Mo)","$99600","$101100"
"Brian Schatz (D-Hawaii)","$99290","$105340"
"Josh Gottheimer (D-NJ)","$97958","$104008"
"Heather Mizeur (D-Md)","$97575","$101700"
"Troy Carter (D-La)","$97000","$97000"