"Lobbying Client","Total Spent"
"US Chamber of Commerce","$1998920680"
"National Assn of Realtors","$963438129"
"American Hospital Assn","$570419981"
"Pharmaceutical Research & Manufacturers of America","$559526550"
"American Medical Assn","$542632285"
"Blue Cross/Blue Shield","$519678918"
"Business Roundtable","$429790000"
"General Electric","$384852000"
"Boeing Co","$360598310"
"Northrop Grumman","$344645213"
"Lockheed Martin","$344450383"
"AARP","$328901064"
"AT&T Inc","$326634644"
"Verizon Communications","$320299919"
"Exxon Mobil","$306402742"
"National Assn of Broadcasters","$299108000"
"Southern Co","$291521694"
"Edison Electric Institute","$289928832"
"Comcast Corp","$286570323"
"Altria Group","$274565200"